Designator,Comment,Layer,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Rotation,Description,,,,
U1,MB6S,TopLayer,SOIC245P670X270-4N,9.906,24.257,9.906,24.257,12.806,23.032,180,Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC,,,,
Q1,Triac,TopLayer,SOT89N,13.103,18.288,11.303,18.288,13.103,16.788,180,Silicon Bidirectional Triode Thyristor,,,,
Q2,Triac,TopLayer,SOT89N,13.114,12.319,11.314,12.319,13.114,10.819,180,Silicon Bidirectional Triode Thyristor,,,,
R5,510,TopLayer,RES_1206_(3216X08L),23.6246,17.78,23.622,17.78,22.3266,17.78,0,Resistor,,,,
R6,510,TopLayer,RES_1206_(3216X08L),23.6246,14.605,23.622,14.605,22.3266,14.605,0,Resistor,,,,
U3,ATtiny15L-1SC,TopLayer,8S2_N,28.067,6.604,28.067,6.604,31.467,4.699,180,8-Bit AVR Microcontroller with 1K Byte of Flash Memory,,,,
R3,510,TopLayer,RES_1206_(3216X08L),23.6246,23.368,23.622,23.368,22.3266,23.368,0,Resistor,,,,0
R4,510,TopLayer,RES_1206_(3216X08L),23.6246,20.701,23.622,20.701,22.3266,20.701,0,Resistor,,,,0
C1,47uf,TopLayer,C1206,29.224,269.78,29.464,269.78,30.814,269.78,180,Default Diode,,,,0
D5v,D5v,TopLayer,CAP_1206,29.337,272.828,29.21,272.828,27.305,272.828,0,Capacitor,,,,0
R8,10K,TopLayer,RES_1206_(3216X08L),17.103,262.795,17.145,262.795,18.712,262.795,180,Resistor,,,,0
R1,5.6k,TopLayer,RES_1206_(3216X08L),29.1465,263.43,29.337,263.43,27.305,263.43,0,Resistor,,,,0
R9,10K,TopLayer,RES_1206_(3216X08L),17.018,256.953,16.764,256.953,18.669,256.953,180,Resistor,,,,0
R2,200k,TopLayer,RES_1206_(3216X08L),23.622,263.43,23.622,263.43,22.352,263.43,0,Resistor,,,,0
R7,10K,TopLayer,RES_1206_(3216X08L),17.0395,268.913,17.145,268.913,18.585,268.913,180,Resistor,,,,0
C2,100nf,TopLayer,CAP_1206,29.238,266.605,29.464,266.605,27.686,266.605,0,Capacitor,,,,0
c10,33nf,TopLayer,RES_1206_(3216X08L),35.56,257.334,35.56,257.334,34.29,257.334,0,Resistor,,,,0
C1,47uf,TopLayer,C1206,29.224,241.78,29.464,241.78,30.814,241.78,180,Default Diode,,,,0
D5v,D5v,TopLayer,CAP_1206,29.337,244.828,29.21,244.828,27.305,244.828,0,Capacitor,,,,0
R8,10K,TopLayer,RES_1206_(3216X08L),17.103,234.795,17.145,234.795,18.712,234.795,180,Resistor,,,,0
R1,5.6k,TopLayer,RES_1206_(3216X08L),29.1465,235.43,29.337,235.43,27.305,235.43,0,Resistor,,,,0
R9,10K,TopLayer,RES_1206_(3216X08L),17.018,228.953,16.764,228.953,18.669,228.953,180,Resistor,,,,0
R2,200k,TopLayer,RES_1206_(3216X08L),23.622,235.43,23.622,235.43,22.352,235.43,0,Resistor,,,,0
R7,10K,TopLayer,RES_1206_(3216X08L),17.0395,240.913,17.145,240.913,18.585,240.913,180,Resistor,,,,0
C2,100nf,TopLayer,CAP_1206,29.238,238.605,29.464,238.605,27.686,238.605,0,Capacitor,,,,0
c10,33nf,TopLayer,RES_1206_(3216X08L),35.56,229.334,35.56,229.334,34.29,229.334,0,Resistor,,,,0
C1,47uf,TopLayer,C1206,29.224,213.78,29.464,213.78,30.814,213.78,180,Default Diode,,,,0
D5v,D5v,TopLayer,CAP_1206,29.337,216.828,29.21,216.828,27.305,216.828,0,Capacitor,,,,0
R8,10K,TopLayer,RES_1206_(3216X08L),17.103,206.795,17.145,206.795,18.712,206.795,180,Resistor,,,,0
R1,5.6k,TopLayer,RES_1206_(3216X08L),29.1465,207.43,29.337,207.43,27.305,207.43,0,Resistor,,,,0
R9,10K,TopLayer,RES_1206_(3216X08L),17.018,200.953,16.764,200.953,18.669,200.953,180,Resistor,,,,0
R2,200k,TopLayer,RES_1206_(3216X08L),23.622,207.43,23.622,207.43,22.352,207.43,0,Resistor,,,,0
R7,10K,TopLayer,RES_1206_(3216X08L),17.0395,212.913,17.145,212.913,18.585,212.913,180,Resistor,,,,0
C2,100nf,TopLayer,CAP_1206,29.238,210.605,29.464,210.605,27.686,210.605,0,Capacitor,,,,0
c10,33nf,TopLayer,RES_1206_(3216X08L),35.56,201.334,35.56,201.334,34.29,201.334,0,Resistor,,,,0
C1,47uf,TopLayer,C1206,29.224,185.78,29.464,185.78,30.814,185.78,180,Default Diode,,,,0
D5v,D5v,TopLayer,CAP_1206,29.337,188.828,29.21,188.828,27.305,188.828,0,Capacitor,,,,0
R8,10K,TopLayer,RES_1206_(3216X08L),17.103,178.795,17.145,178.795,18.712,178.795,180,Resistor,,,,0
R1,5.6k,TopLayer,RES_1206_(3216X08L),29.1465,179.43,29.337,179.43,27.305,179.43,0,Resistor,,,,0
R9,10K,TopLayer,RES_1206_(3216X08L),17.018,172.953,16.764,172.953,18.669,172.953,180,Resistor,,,,0
R2,200k,TopLayer,RES_1206_(3216X08L),23.622,179.43,23.622,179.43,22.352,179.43,0,Resistor,,,,0
R7,10K,TopLayer,RES_1206_(3216X08L),17.0395,184.913,17.145,184.913,18.585,184.913,180,Resistor,,,,0
C2,100nf,TopLayer,CAP_1206,29.238,182.605,29.464,182.605,27.686,182.605,0,Capacitor,,,,0
c10,33nf,TopLayer,RES_1206_(3216X08L),35.56,173.334,35.56,173.334,34.29,173.334,0,Resistor,,,,0
C1,47uf,TopLayer,C1206,29.224,157.78,29.464,157.78,30.814,157.78,180,Default Diode,,,,0
D5v,D5v,TopLayer,CAP_1206,29.337,160.828,29.21,160.828,27.305,160.828,0,Capacitor,,,,0
R8,10K,TopLayer,RES_1206_(3216X08L),17.103,150.795,17.145,150.795,18.712,150.795,180,Resistor,,,,0
R1,5.6k,TopLayer,RES_1206_(3216X08L),29.1465,151.43,29.337,151.43,27.305,151.43,0,Resistor,,,,0
R9,10K,TopLayer,RES_1206_(3216X08L),17.018,144.953,16.764,144.953,18.669,144.953,180,Resistor,,,,0
R2,200k,TopLayer,RES_1206_(3216X08L),23.622,151.43,23.622,151.43,22.352,151.43,0,Resistor,,,,0
R7,10K,TopLayer,RES_1206_(3216X08L),17.0395,156.913,17.145,156.913,18.585,156.913,180,Resistor,,,,0
C2,100nf,TopLayer,CAP_1206,29.238,154.605,29.464,154.605,27.686,154.605,0,Capacitor,,,,0
c10,33nf,TopLayer,RES_1206_(3216X08L),35.56,145.334,35.56,145.334,34.29,145.334,0,Resistor,,,,0
C1,47uf,TopLayer,C1206,29.224,129.78,29.464,129.78,30.814,129.78,180,Default Diode,,,,0
D5v,D5v,TopLayer,CAP_1206,29.337,132.828,29.21,132.828,27.305,132.828,0,Capacitor,,,,0
R8,10K,TopLayer,RES_1206_(3216X08L),17.103,122.795,17.145,122.795,18.712,122.795,180,Resistor,,,,0
R1,5.6k,TopLayer,RES_1206_(3216X08L),29.1465,123.43,29.337,123.43,27.305,123.43,0,Resistor,,,,0
R9,10K,TopLayer,RES_1206_(3216X08L),17.018,116.953,16.764,116.953,18.669,116.953,180,Resistor,,,,0
R2,200k,TopLayer,RES_1206_(3216X08L),23.622,123.43,23.622,123.43,22.352,123.43,0,Resistor,,,,0
R7,10K,TopLayer,RES_1206_(3216X08L),17.0395,128.913,17.145,128.913,18.585,128.913,180,Resistor,,,,0
C2,100nf,TopLayer,CAP_1206,29.238,126.605,29.464,126.605,27.686,126.605,0,Capacitor,,,,0
c10,33nf,TopLayer,RES_1206_(3216X08L),35.56,117.334,35.56,117.334,34.29,117.334,0,Resistor,,,,0
C1,47uf,TopLayer,C1206,29.224,101.78,29.464,101.78,30.814,101.78,180,Default Diode,,,,0
D5v,D5v,TopLayer,CAP_1206,29.337,104.828,29.21,104.828,27.305,104.828,0,Capacitor,,,,0
R8,10K,TopLayer,RES_1206_(3216X08L),17.103,94.795,17.145,94.795,18.712,94.795,180,Resistor,,,,0
R1,5.6k,TopLayer,RES_1206_(3216X08L),29.1465,95.43,29.337,95.43,27.305,95.43,0,Resistor,,,,0
R9,10K,TopLayer,RES_1206_(3216X08L),17.018,88.953,16.764,88.953,18.669,88.953,180,Resistor,,,,0
R2,200k,TopLayer,RES_1206_(3216X08L),23.622,95.43,23.622,95.43,22.352,95.43,0,Resistor,,,,0
R7,10K,TopLayer,RES_1206_(3216X08L),17.0395,100.913,17.145,100.913,18.585,100.913,180,Resistor,,,,0
C2,100nf,TopLayer,CAP_1206,29.238,98.605,29.464,98.605,27.686,98.605,0,Capacitor,,,,0
c10,33nf,TopLayer,RES_1206_(3216X08L),35.56,89.334,35.56,89.334,34.29,89.334,0,Resistor,,,,0
C1,47uf,TopLayer,C1206,29.224,73.78,29.464,73.78,30.814,73.78,180,Default Diode,,,,0
D5v,D5v,TopLayer,CAP_1206,29.337,76.828,29.21,76.828,27.305,76.828,0,Capacitor,,,,0
R8,10K,TopLayer,RES_1206_(3216X08L),17.103,66.795,17.145,66.795,18.712,66.795,180,Resistor,,,,0
R1,5.6k,TopLayer,RES_1206_(3216X08L),29.1465,67.43,29.337,67.43,27.305,67.43,0,Resistor,,,,0
R9,10K,TopLayer,RES_1206_(3216X08L),17.018,60.953,16.764,60.953,18.669,60.953,180,Resistor,,,,0
R2,200k,TopLayer,RES_1206_(3216X08L),23.622,67.43,23.622,67.43,22.352,67.43,0,Resistor,,,,0
R7,10K,TopLayer,RES_1206_(3216X08L),17.0395,72.913,17.145,72.913,18.585,72.913,180,Resistor,,,,0
C2,100nf,TopLayer,CAP_1206,29.238,70.605,29.464,70.605,27.686,70.605,0,Capacitor,,,,0
c10,33nf,TopLayer,RES_1206_(3216X08L),35.56,61.334,35.56,61.334,34.29,61.334,0,Resistor,,,,0
C1,47uf,TopLayer,C1206,29.224,45.78,29.464,45.78,30.814,45.78,180,Default Diode,,,,0
D5v,D5v,TopLayer,CAP_1206,29.337,48.828,29.21,48.828,27.305,48.828,0,Capacitor,,,,0
R8,10K,TopLayer,RES_1206_(3216X08L),17.103,38.795,17.145,38.795,18.712,38.795,180,Resistor,,,,0
R1,5.6k,TopLayer,RES_1206_(3216X08L),29.1465,39.43,29.337,39.43,27.305,39.43,0,Resistor,,,,0
R9,10K,TopLayer,RES_1206_(3216X08L),17.018,32.953,16.764,32.953,18.669,32.953,180,Resistor,,,,0
R2,200k,TopLayer,RES_1206_(3216X08L),23.622,39.43,23.622,39.43,22.352,39.43,0,Resistor,,,,0
R7,10K,TopLayer,RES_1206_(3216X08L),17.0395,44.913,17.145,44.913,18.585,44.913,180,Resistor,,,,0
C2,100nf,TopLayer,CAP_1206,29.238,42.605,29.464,42.605,27.686,42.605,0,Capacitor,,,,0
c10,33nf,TopLayer,RES_1206_(3216X08L),35.56,33.334,35.56,33.334,34.29,33.334,0,Resistor,,,,0
C1,47uf,TopLayer,C1206,29.224,17.78,29.464,17.78,30.814,17.78,180,Default Diode,,,,0
D5v,D5v,TopLayer,CAP_1206,29.337,20.828,29.21,20.828,27.305,20.828,0,Capacitor,,,,0
R8,10K,TopLayer,RES_1206_(3216X08L),17.103,10.795,17.145,10.795,18.712,10.795,180,Resistor,,,,0
R1,5.6k,TopLayer,RES_1206_(3216X08L),29.1465,11.43,29.337,11.43,27.305,11.43,0,Resistor,,,,0
R9,10K,TopLayer,RES_1206_(3216X08L),17.018,4.953,16.764,4.953,18.669,4.953,180,Resistor,,,,0
R2,200k,TopLayer,RES_1206_(3216X08L),23.622,11.43,23.622,11.43,22.352,11.43,0,Resistor,,,,0
R7,10K,TopLayer,RES_1206_(3216X08L),17.0395,16.913,17.145,16.913,18.585,16.913,180,Resistor,,,,0
C2,100nf,TopLayer,CAP_1206,29.238,14.605,29.464,14.605,27.686,14.605,0,Capacitor,,,,
c10,33nf,TopLayer,RES_1206_(3216X08L),35.56,5.334,35.56,5.334,34.29,5.334,0,Resistor,,,,
